Dataset,Standard_MSE,Matern_MSE,Beta_MSE,Standard_Final_AUROC,Matern_Final_AUROC,Beta_Final_AUROC,Standard_Uncertainty,Matern_Uncertainty,Beta_Uncertainty
BUSI_Malignant,0.000118,0.000108,0.029051,0.8889788,0.8889572,0.7447383,0.4743841215915285,0.47582312373960767,0.9648569234431994
ChestXRay14_Infiltration,5.6e-05,5.5e-05,0.010026,0.9256449,0.9258484,0.7982303,0.44537692351919633,0.445892717819688,0.9854442729409781
ChestXRay14_Pneumonia,0.000145,0.000126,0.009008,0.927449,0.92788744,0.8004693,0.4434932993345358,0.44405190039211695,0.9862633144531853
OASIS3_Alzheimer,0.000119,0.000124,0.020006,0.8819749,0.8818404,0.70186186,0.48306136235088964,0.48322340040576883,0.9629528244979734
TMED2_AS,0.000315,0.000314,0.011787,0.90303326,0.90271837,0.7589415,0.46222225728710525,0.4634132921917377,0.9767420160338864
